Price,Close,High,Low,Open,Volume,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Histogram,Bollinger_High,Bollinger_Low,Bollinger_Middle,Volume_SMA_20,ATR_14
2025-02-10,184.62808227539065,187.5884323395377,181.23913681658223,186.7412035794381,108268600,192.21361236572267,188.67209628091803,54.7314492030462,,,,,,,,11.65486881789289
2025-02-17,179.076171875,185.35570213389613,178.49805484578573,184.99687139883912,105106800,191.22257232666016,186.9273827525693,49.058860547698316,,,,,,,,11.31221013719414
2025-02-24,169.72665405273438,182.52492532418395,166.22806568264113,181.39860773330597,195320500,189.11643829345704,183.79997753441748,41.29657180708681,,,,,,,,11.668256530361903
2025-03-03,173.29502868652344,174.40142226145525,165.26122273215574,171.37129246650488,172801200,187.23258209228516,181.88998683480037,44.881152627818686,,,,205.11290525451017,158.3674536322086,181.74017944335938,137154980.0,11.487681030286018
2025-03-10,164.9522247314453,167.9125745565006,160.8456028517207,167.71321231450338,175315900,184.6111297607422,178.81039372509943,38.900406944717716,,,,205.07388537738558,158.44725872661832,181.76057205200195,142066275.0,11.556377087751496
2025-03-17,163.64535522460938,165.9504979673469,156.3906299864857,164.68316280458112,172299000,181.83407287597657,176.0531139977376,38.045152128801234,,,,205.5712358285393,157.26065198884353,181.41594390869142,139693030.0,11.41376929440219
2025-03-24,154.0056610107422,170.27140788224872,153.30713518011623,166.7188920350187,157132700,177.69833068847657,172.04448618192023,32.38862791677974,,,,207.1679476169323,153.30781227076298,180.23787994384764,141510195.0,11.810233823525783
2025-03-31,145.29400634765625,158.0770818186046,145.0744674917677,152.78821750017033,219461000,172.27179107666015,167.1807625756904,28.294392784792564,,,,209.7053224853748,148.12657143552363,178.91594696044922,146019175.0,11.895403859476575
2025-04-07,156.80975341796875,159.21469220796257,140.23466044292627,141.25252107084486,281058700,167.6170639038086,165.29512454701373,39.23005790288737,,,,210.19194194948668,146.91726825559144,178.55460510253906,152026795.0,12.4014487098737
2025-04-14,150.84231567382812,161.38011963425194,148.1879024535801,159.66373328331863,119118500,164.22752532958984,162.66734111552543,36.15312262261521,-5.586195287905014,,,211.30312092002998,144.06950176063407,177.68631134033203,153625435.0,12.457932172073567
2025-04-21,161.61962890625,165.75092760525033,145.79295993341864,148.56711622166557,186077700,161.9266799926758,162.47684798656624,44.60371823405073,-5.419270689780774,,,211.38335540826898,142.75693695012944,177.0701461791992,156905745.0,12.993648993484863
2025-04-28,163.68527221679688,164.62329914267073,155.07340421101753,162.08862869700465,147454100,160.38759002685546,162.6965614829718,46.076885748136434,-5.061950575995581,,,210.13328383608064,141.476878517435,175.80508117675782,153875565.0,12.747666560496887
2025-05-05,152.42897033691406,165.0424046545791,147.52928586839812,162.65742824822908,260043100,158.65782165527344,160.8297267291431,39.85676707494754,-5.6222514849466165,,,208.9314208720292,138.84283907670124,173.88712997436522,155961065.0,13.088056005188607
2025-05-12,165.84072875976562,168.99409119137468,155.8318095553471,157.15901618434813,211270400,157.91239166259766,161.7408180074381,48.73647519309426,-4.927278573783923,,,206.74193854618497,138.40303520869784,172.5724868774414,163173770.0,13.336417780136609
2025-05-19,168.11593627929688,176.39849563144705,162.55763515975903,164.16425211267818,260525600,158.2287628173828,162.89993042050332,50.08289739957387,-4.145134769192026,,,204.5418557610495,138.29803681707548,171.4199462890625,172665120.0,13.37244940096171
2025-05-26,171.3790740966797,174.90165417708144,167.0881079964574,169.8023928214017,154736900,159.00213470458985,164.44159290708083,52.02893508589371,-3.224798745755379,,,202.24700012846955,138.58920745209684,170.4181037902832,175022925.0,12.975384885223304
2025-06-02,173.31497192382812,174.1332558504034,164.9326321741528,167.48724942255976,182708900,160.93306579589844,166.05493454648942,53.1947461734096,-2.3125573195780476,,,199.07213322219098,139.559263262184,169.3156982421875,178842115.0,12.705759084582398
2025-06-09,174.3029022216797,180.72937000446453,172.02769521154994,174.1731705641841,170953800,163.83395538330078,167.55456503288764,53.81163929268245,-1.49267506938736,-3.707783490218458,2.215108420831098,194.5312535872955,141.57449287266542,168.05287322998046,182039765.0,12.419753063748983
2025-06-16,166.4910888671875,177.20151062924683,165.312150640077,174.57385593488013,156729600,164.80208892822264,167.36120573003308,48.38156837962376,-1.4564712370392385,-3.257521039582614,1.8010498025433757,187.15533635304374,145.26381647898754,166.20957641601564,182853200.0,12.381867844136186
2025-06-23,178.37046813964844,178.52032800475203,161.85524021845205,166.12142890519883,273611200,167.55490417480468,169.3628898045086,55.70204748617232,-0.4638656573446269,-2.6987899631350167,2.23492430579039,185.8721711117741,145.91025839262045,165.89121475219727,185499710.0,12.687812125719315
2025-06-30,179.36956787109375,181.0680456745902,173.37492956805673,180.61845085089317,150102000,169.32989807128905,171.18228581661498,56.26383895271349,0.3988032586835004,-2.0792713187713137,2.478074577454814,184.73538867973392,146.52118938423095,165.62828903198243,187591380.0,12.331048124348897
2025-07-07,180.02899169921875,181.26787392679407,172.61562375057437,178.89999654459535,181179000,170.96427001953126,172.7907777952702,56.654567642863476,1.1227423072888598,-1.438868593559279,2.561610900848139,184.9211661912183,146.4306938551684,165.67593002319336,191394990.0,12.06827684233967
